시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,카메라 설치여부(CCTV),카메라 설치대수(CCTV),보호구역도로폭,데이터기준일자
유치원,승혜유치원,서울특별시 동작구 성대로21길 15,서울특별시 동작구 상도4동 244-337,37.4986394,126.9370792,서울특별시 동작구청,동작경찰서,Y,1,4,2020-02-06
유치원,은혜유치원,서울특별시 동작구 성대로6가길 29,서울특별시 동작구 상도3동 256-175,37.4977312,126.9332022,서울특별시 동작구청,동작경찰서,Y,1,5~8,2020-02-06
유치원,양문유치원,서울특별시 동작구 시흥대로 644-1,서울특별시 동작구 신대방1동 607-32,37.4891543,126.9073747,서울특별시 동작구청,동작경찰서,Y,1,4~7,2020-02-06
유치원,열림유치원,서울특별시 동작구 여의대방로44길 49,서울특별시 동작구 대방동 503-1,37.5089258,126.929207,서울특별시 동작구청,동작경찰서,Y,1,19,2020-02-06
유치원,요요유치원,서울특별시 동작구 여의대방로 28,서울특별시 동작구 신대방1동 707,37.49527344,126.9116916,서울특별시 동작구청,동작경찰서,Y,1,5,2020-02-06
유치원,중대부속유치원,서울특별시 동작구 흑석로 47,서울특별시 동작구 흑석1동 211-32,37.5064905,126.9555972,서울특별시 동작구청,동작경찰서,Y,1,13,2020-02-06
유치원,강남유치원,서울특별시 동작구 상도로41가길 13,서울특별시 동작구 상도1동 660-2,37.50349488,126.9496786,서울특별시 동작구청,동작경찰서,Y,1,9,2020-02-06
유치원,상도유치원,서울특별시 동작구 상도로47길 51,서울특별시 동작구 상도1동 415,37.50144862,126.9516555,서울특별시 동작구청,동작경찰서,Y,1,8,2020-02-06
유치원,성모유치원,서울특별시 동작구 장승배기로5길 16,서울특별시 동작구 상도2동 204-89,37.50158742,126.9399433,서울특별시 동작구청,동작경찰서,Y,1,3~5,2020-02-06
유치원,행복유치원,서울특별시 동작구 양녕로23길 25,서울특별시 동작구 상도동 산 65-225,37.4956159,126.941139,서울특별시 동작구청,동작경찰서,Y,1,7~9,2020-02-06
유치원,신남성초교 병설유치원,서울특별시 동작구 사당로 146,서울특별시 동작구 사당5동 418-1,37.48815083,126.9648709,서울특별시 동작구청,동작경찰서,Y,1,5~7,2020-02-06
유치원,은로초등학교 병설유치원,서울특별시 동작구 서달로 115,서울특별시 동작구 흑석1동 245,37.5031946,126.9600008,서울특별시 동작구청,동작경찰서,Y,1,5~11,2020-02-06
유치원,샛별유치원,서울특별시 동작구 상도로50길 36-1,서울특별시 동작구 상도동 134-160,37.49804586,126.9502826,서울특별시 동작구청,동작경찰서,Y,1,7,2020-02-06
유치원,하랑숲유치원,서울특별시 동작구 동작대로41길 7,서울특별시 동작구 동작동 102-60,37.4960102,126.9817887,서울특별시 동작구청,동작경찰서,Y,1,6,2020-02-06
유치원,시현유치원,서울특별시 동작구 만양로8길 50,서울특별시 동작구 노량진동 323,37.51030525,126.9468677,서울특별시 동작구청,동작경찰서,Y,1,5,2020-02-06
어린이집,아롱다롱어린이집,서울특별시 동작구 사당로30길 90,서울특별시 동작구 사당1동 1020-40,37.48080945,126.9806795,서울특별시 동작구청,동작경찰서,Y,1,7,2020-02-06
어린이집,양지어린이집,서울특별시 동작구 사당로23길 137,서울특별시 동작구 사당동 169-8,37.48858884,126.9720666,서울특별시 동작구청,동작경찰서,Y,1,12,2020-02-06
어린이집,연꽃어린이집,서울특별시 동작구 국사봉1길 235-1,서울특별시 동작구 상도3동 산77-1,37.49326005,126.9360196,서울특별시 동작구청,동작경찰서,Y,1,7~8,2020-02-06
어린이집,예담어린이집,서울특별시 동작구 매봉로 43,서울특별시 동작구 상도동 511,37.5069456,126.9512421,서울특별시 동작구청,동작경찰서,Y,1,8~14,2020-02-06
어린이집,은하어린이집,서울특별시 동작구 여의대방로24길 113,서울특별시 동작구 대방동 407-40,37.49930557,126.9263253,서울특별시 동작구청,동작경찰서,Y,1,4~24,2020-02-06
어린이집,꿈나무어린이집,서울특별시 동작구 여의대방로36길 11,서울특별시 동작구 대방동 386-2,37.50461575,126.9229536,서울특별시 동작구청,동작경찰서,Y,1,13,2020-02-06
어린이집,우리어린이집,서울특별시 동작구 솔밭로74-1,서울특별시 동작구 사당5동 235-61,37.48301937,126.9672688,서울특별시 동작구청,동작경찰서,Y,1,6~7,2020-02-06
어린이집,참사랑어린이집,서울특별시 동작구 동작대로17길 37,서울특별시 동작구 사당1동 1012-23,37.48280553,126.9775139,서울특별시 동작구청,동작경찰서,Y,1,6,2020-02-06
어린이집,상도어린이집,서울특별시 동작구 양녕로36길 15,서울특별시 동작구 상도1동 159-403,37.5024623,126.9464077,서울특별시 동작구청,동작경찰서,Y,1,3,2020-02-06
어린이집,다문화어린이집,서울특별시 동작구 동작대로17길 28,서울특별시 동작구 사당1동 1011-1,37.4830324,126.9787548,서울특별시 동작구청,동작경찰서,Y,1,3~6,2020-02-06
어린이집,노벨어린이집,서울특별시 동작구 양녕로 26길 27,서울특별시 동작구 상도4동 211-1,37.49739084,126.9442578,서울특별시 동작구청,동작경찰서,Y,1,7~9,2020-02-06
어린이집,무지개어린이집,서울특별시 동작구 성대로6가길 29,서울특별시 동작구 상도3동 256-175,37.4977312,126.9332022,서울특별시 동작구청,동작경찰서,Y,1,5~8,2020-02-06
어린이집,영재어린이집,서울특별시 동작구 여의대방로36길 105,서울특별시 동작구 대방동 44-3,37.50885234,126.9318509,서울특별시 동작구청,동작경찰서,Y,1,12~18,2020-02-06
어린이집,문화어린이집,서울특별시 동작구 사당로13길 24,서울특별시 동작구 사당동 1131-4,37.4851433,126.9724116,서울특별시 동작구청,동작경찰서,Y,1,5~8,2020-02-06
어린이집,큰별어린이집,서울특별시 동작구 흑석한강로 28,서울특별시 동작구 흑석동 336-1,37.50463572,126.965112,서울특별시 동작구청,동작경찰서,Y,1,21~23,2020-02-06
어린이집,성대어린이집,서울특별시 동작구 성대로10길 27,서울특별시 동작구 상도동 271,37.49682045,126.935311,서울특별시 동작구청,동작경찰서,Y,1,4~7,2020-02-06
특수학교,삼성특수학교,서울특별시 동작구 양녕로30길 19-4,서울특별시 동작구 상도4동 212-128,37.49895587,126.946161,서울특별시 동작구청,동작경찰서,Y,1,7~20,2020-02-06
유치원,행복한숲유치원,서울특별시 동작구 만양로26,서울특별시 동작구 상도동414,37.50763224,126.9495433,서울특별시 동작구청,동작경찰서,Y,1,6~7,2020-02-06
어린이집,사당4동어린이집,서울특별시 동작구 사당로22나길 70,서울특별시 동작구 사당동316-56,37.480666,126.973077,서울특별시 동작구청,동작경찰서,Y,1,6~7,2020-02-06
